Solar Eclipses: 1901 - 2025,,,,,,,,
Calendar Date,TD of Greatest Eclipse,Eclipse Type,Saros Series,Eclipse Magnitude,Central Duration,Geographic Region of Eclipse Visibility,,
1994 May 10,17:12:26,Annular,128,0.943,06m13s,"e Pacific, N. America, Europe, w Africa
[Annular: Pacific, c U.S., e Canada, Morocco]",,
1994 Nov 03,13:40:06,Total,133,1.054,04m23s,"S. America, Antarctica, s Atlantic s Africa
[Total: Peru, Chile, Bolivia, Paraguay, Brazil]",,
1995 Apr 29,17:33:20,Annular,138,0.95,06m37s,"s Pacific, C. & S. America, Atlantic
[Annular: s Pacific, Ecuador, Peru, Colombia, Brazil]",,
1995 Oct 24,4:33:30,Total,143,1.021,02m10s,"Middle East, Asia, Indonesia, Australia
[Total: Iran, India, Thailand, se Asia]",,
1996 Apr 17,22:38:12,Partial,148,0.88,-,"N. Zealand, s Pacific Ocean",,
1996 Oct 12,14:03:04,Partial,153,0.757,-,"ne N. America, Europe, n Africa",,
1997 Mar 09,1:24:50,Total,120,1.042,02m50s,"Asia, Alaska
[Total: Mongolia, China, Siberia]",,
1997 Sep 02,0:04:49,Partial,125,0.899,-,"Australia, N. Zealand, Antarctica",,
1998 Feb 26,17:29:27,Total,130,1.044,04m09s,"N., C. & S. America
[Total: Galapagos, Colombia, Venezuela, Caribbean]",,
1998 Aug 22,2:07:10,Annular,135,0.973,03m14s,"Asia, Australia, N. Zealand
[Annular: Sumatra, Borneo, Pacific]",,
1999 Feb 16,6:34:38,Annular,140,0.993,00m40s,"s Africa, Antarctica, Australia, N. Z.
[Annular: s Indian, Australia]",,
1999 Aug 11,11:04:09,Total,145,1.029,02m23s,"e N. America, n Africa, Europe, Asia
[Total: England, Europe, Middle East, Turkey, India]",,
2000 Feb 05,12:50:27,Partial,150,0.579,-,Antarctica,,
2000 Jul 01,19:33:33,Partial,117,0.477,-,"S Pacific Ocean, s S. America",,
2000 Jul 31,2:14:07,Partial,155,0.603,-,"n Asia, nw N. America",,
2000 Dec 25,17:35:57,Partial,122,0.723,-,N. & C. America,,
1981 Feb 04,22:09:24,Annular,140,0.994,00m33s,"Australia, New Zealand, Antarctica, w S. America
[Annular: Tasmania, New Zealand, s Pacific]",,
1981 Jul 31,3:46:36,Total,145,1.026,02m02s,"e Europe, Asia, Alaska, nw Canada
[Total: Kazakhstan, Russia, n Pacific]",,
1982 Jan 25,4:42:53,Partial,150,0.566,-,"New Zealand, Antarctica",,
1982 Jun 21,12:04:33,Partial,117,0.617,-,"s Atlantic, s Africa",,
1982 Jul 20,18:44:44,Partial,155,0.464,-,"ne Asia, n N. America, nw Europe",,
1982 Dec 15,9:32:09,Partial,122,0.735,-,"Europe, ne Africa, c Asia",,
1983 Jun 11,4:43:33,Total,127,1.052,05m11s,"se Asia, East Indies, Australia
[Total: Indonesia, Papua New Guinea]",,
1983 Dec 04,12:31:15,Annular,132,0.967,04m01s,"ns S. America, Africa, s Europe
[Annular: Gabon, Congo, D. R. Congo, Uganda, Kenya, Ethiopia, Somalia]",,
1984 May 30,16:45:41,Annular,137,0.998,00m11s,"N. & C. America, Europe, nw Africa
[Annular: Mexico, se US, Morocco, Algeria]",,
1984 Nov 22,22:54:17,Total,142,1.024,02m00s,"East Indies, Australia, New Zealand, Antarctica
[Total: Papua New Guinea, s Pacific]",,
1985 May 19,21:29:38,Partial,147,0.841,-,"ne Asia, n N. America",,
1985 Nov 12,14:11:27,Total,152,1.039,01m59s,"s S. America, Antarctica
[Total: s Pacific, Antarctica]",,
1986 Apr 09,6:21:22,Partial,119,0.824,-,"East Indies, Australia, Antarctica",,
1986 Oct 03,19:06:15,Hybrid,124,1,00m00s,"N. & C. America, n S America
[Hybrid: n Atlantic]",,
1987 Mar 29,12:49:47,Hybrid,129,1.001,00m08s,"s S. America, Africa, Mid East
[Hybrid: Argentina, Gabon, Cameroon, C. A. Rep., Sudan, Ethiopia, Somalia]",,
1987 Sep 23,3:12:21,Annular,134,0.963,03m49s,"Asia, East Indies, Australia
[Annular: Kazakhstan, Russia, Mongolia, China]",,
1988 Mar 18,1:58:56,Total,139,1.046,03m46s,"e Asia, East Indies, Australia, Alaska
[Total: Malaysia, Indonesia, Philippines, Pacific]",,
1988 Sep 11,4:44:29,Annular,144,0.938,06m57s,"e Africa, s Asia, Australia
[Annular: Indian Ocean]",,
1989 Mar 07,18:08:41,Partial,149,0.827,-,w N. America,,
1989 Aug 31,5:31:47,Partial,154,0.634,-,"s Africa, Antarctica",,
1990 Jan 26,19:31:24,Annular,121,0.967,02m03s,"s S. America, Antarctica
[Annular: Antarctica]",,
1990 Jul 22,3:03:07,Total,126,1.039,02m33s,"n & c Asia, nw N. America
[Total: Finland, n Russia, n Pacific]",,
1971 Feb 25,9:38:06,Partial,149,0.787,-,"Europe, nw Africa, w Asia",,
1971 Jul 22,9:31:55,Partial,116,0.069,-,"ne Asia, n Alaska",,
1971 Aug 20,22:39:31,Partial,154,0.508,-,"e Australia, New Zealand, s Pacific",,
1972 Jan 16,11:03:22,Annular,121,0.969,01m53s,"s S. America, Antarctica
[Annular: Antarctica]",,
1972 Jul 10,19:46:38,Total,126,1.038,02m36s,"ne Asia, N. America, n S. America
[Total: ne Russia, Alaska, Canada]",,
1973 Jan 04,15:46:21,Annular,131,0.93,07m49s,"S. America, w Africa, Antarctica
[Annular: Pacific, Chile, Argentina, Atlantic]",,
1973 Jun 30,11:38:40,Total,136,1.079,07m04s,"e S. America, s Europe, Africa, Mid East
[Total: Guyana, Suriname, Mauritania, Mali, Niger, Chad,
Sudan, Uganda, Kenya]",,
1973 Dec 24,15:02:43,Annular,141,0.917,12m02s,"e N. America, S. America, w Europe, w Africa
[Annular: Mexico, Costa Rica, Panama, Colombia, Venezuela,
Brazil, Mauritania, Algeria]",,
1974 Jun 20,4:48:04,Total,146,1.059,05m09s,"Madagascar, East Indies, Australia
[Total: s Indian Ocean, sw Australia]",,
1974 Dec 13,16:13:13,Partial,151,0.827,-,"N. America, n S. America",,
1975 May 11,7:17:33,Partial,118,0.864,-,"Greenland, Europe, n Africa, n Asia,",,
1975 Nov 03,13:15:54,Partial,123,0.959,-,"s S. America, Antarctica",,
1976 Apr 29,10:24:18,Annular,128,0.942,06m41s,"Europe, Africa, Asia
[Annular: Senegal, Mauritania, Mali, Algeria, Libya,
Greece, Turkey, Armenia, Azerbaijan, Iran, Afghanistan,
Pakistan, Tajikistan, Kyrgistan, China]",,
1976 Oct 23,5:13:45,Total,133,1.057,04m46s,"e Africa, India, E. Indies, Australia, New Zealand
[Total: Tanzania, se Australia]",,
1977 Apr 18,10:31:30,Annular,138,0.945,07m04s,"Africa, s Asia
[Annular: Namibia, Angola, D. R. Congo, Zambia, Tanzania]",,
1977 Oct 12,20:27:27,Total,143,1.027,02m37s,"N. America, nw S. America
[Total: Pacific, Colombia, Venezuela]",,
1978 Apr 07,15:03:46,Partial,148,0.788,-,"s S. America, s Africa, Antarctica",,
1978 Oct 02,6:28:43,Partial,153,0.69,-,"Scandinavia, n & e Asia",,
1979 Feb 26,16:55:06,Total,120,1.039,02m49s,"N. & C. America, nw Europe
[Total: nw US, c Canada, Greenland]",,
1979 Aug 22,17:22:38,Annular,125,0.933,06m03s,"s S. America, Antarctica
[Annular: Antarctica, s Pacific]",,
1980 Feb 16,8:54:01,Total,130,1.043,04m08s,"Africa, s Asia
[Total: Angola, D. R. Congo, Tanzania,
Kenya, India, Myanmar, China]",,
1980 Aug 10,19:12:21,Annular,135,0.973,03m23s,"sw N. America, C. & S. America
[Annular: Pacific, Peru, Bolivia, Paraguay, Brazil]",,
1961 Feb 15,8:19:48,Total,120,1.036,02m45s,"Europe, n Africa, Asia
[Total: France, Italy, Yugoslavia, Romania, Ukraine, Russia]",,
1961 Aug 11,10:46:47,Annular,125,0.938,06m35s,"Brazil, s Atlantic, s Africa, Antarctica
[Annular: Antarctica]",,
1962 Feb 05,0:12:38,Total,130,1.043,04m08s,"e Asia, East Indies, Australia, Pacific, w US
[Total: Indonesia, Papua New Guinea, Pacific]",,
1962 Jul 31,12:25:32,Annular,135,0.972,03m33s,"ne S. America, sw Europe, Africa
[Annular: Venezuela, Guyana, French Guyana, Senegal, Mali,
Burkina Faso, Togo, Benin, Nigeria, Cameroon, Congo, Dem. Rep. Congo, Tanzania, Madagascar]",,
1963 Jan 25,13:37:12,Annular,140,0.995,00m25s,"s S. America, s Africa, Antarctica
[Annular: Chile, Argentina, S. Africa, Madagascar]",,
1963 Jul 20,20:36:13,Total,145,1.022,01m40s,"ne Asia, N. America, C. America
[Total: Japan, n Pacific, Alaska, n Canada, e Canada, Maine]",,
1964 Jan 14,20:30:08,Partial,150,0.559,-,Antarctica,,
1964 Jun 10,4:34:07,Partial,117,0.754,-,"Australia, New Zealand",,
1964 Jul 09,11:17:53,Partial,155,0.322,-,"n N. America, N. Pole, ne Asia",,
1964 Dec 04,1:31:54,Partial,122,0.752,-,"ne Asia, Pacific",,
1965 May 30,21:17:31,Total,127,1.054,05m15s,"New Zealand, Pacific, C. America, w S. America
[Total: New Zealand, Pacific, Peru]",,
1965 Nov 23,4:14:51,Annular,132,0.966,04m02s,"Asia, East Indies, Australia, Pacific
[Annular: Afghanistan, Pakistan, India, Nepal, Myanmar, Thailand,
Cambodia, Vietnam, Malaysia, Indonesia, Papua New Guinea]",,
1966 May 20,9:39:01,Annular,137,0.999,00m05s,"Europe, n Africa, Asia
[Annular: Guinea, Mali, Algeria, Libya, Greece, Turkey, Russia, China]",,
1966 Nov 12,14:23:28,Total,142,1.023,01m57s,"C. America, S. America, s Africa
[Total: Peru, Chile, Bolivia, Argentina, Uruguay, Brazil]",,
1967 May 09,14:42:48,Partial,147,0.72,-,"N. America, N. Pole, Asia",,
1967 Nov 02,5:38:56,Total,152,1.013,-,"s Africa, Antarctica
[Total: s Atlantic]",,
1968 Mar 28,23:00:30,Partial,119,0.899,-,"Antarctica, Pacific",,
1968 Sep 22,11:18:46,Total,124,1.01,00m40s,"Europe, ne Africa, c Asia
[Total: Russia, Kazakhstan, China]",,
1969 Mar 18,4:54:57,Annular,129,0.995,00m26s,"se Asia, East Indies, Australia, w Pacific",,
1969 Sep 11,19:58:59,Annular,134,0.969,03m11s,"Americas
[Annular: Pacific, Peru, Bolivia, Brazil]",,
1970 Mar 07,17:38:30,Total,139,1.041,03m28s,"N. America, C. America, nw S. America
[Total: Pacific, Mexico, e US, e Canada]",,
1970 Aug 31,21:55:30,Annular,144,0.94,06m48s,"Papua New Guinea, e Australia, New Zealand, Pacific
[Annular: Papua New Guinea, Pacific]",,
1951 Mar 07,20:53:40,Annular,129,0.99,00m59s,"New Zealand, Pacific, s N. America, nw S. America
[Annular: New Zealand, Nicaragua]",,
1951 Sep 01,12:51:51,Annular,134,0.975,02m36s,"e N. America, Caribbean, n S. America, w Europe, Africa
[Annular: e US, W. Sahara, Mauritania, Mali, Cote D'Ivoire, Ghana, Congo,
Dem. Rep. Congo, Angola, Botswana, Zimbabwe, Mozambique, Madagascar]",,
1952 Feb 25,9:11:35,Total,139,1.037,03m09s,"Europe, Africa, Asia
[Total: Gabon, C. African Rep., Sudan, Saudi Arabia, Iraq, Iran,
Turkmenistan, Uzbekistan, Kazakhstan, Russia]",,
1952 Aug 20,15:13:35,Annular,144,0.942,06m40s,"C. America, S. America
[Annular: Peru, Chile, Bolivia, Argentina, Uruguay]",,
1953 Feb 14,0:59:30,Partial,149,0.76,-,"e Asia, Pacific, Alaska",,
1953 Jul 11,2:44:14,Partial,116,0.201,-,"Alaska, n Canada, Greenland",,
1953 Aug 09,15:55:03,Partial,154,0.373,-,"s Chile, s Argentina, Antarctica",,
1954 Jan 05,2:32:01,Annular,121,0.972,01m42s,"s Pacific, New Zealand, Antarctica
[Annular: Antarctica]",,
1954 Jun 30,12:32:38,Total,126,1.036,02m35s,"c & e US, Canada, Caribbean, n Africa, Europe, w Asia
[Total: n US, e Canada, Greenland, Iceland, Norway, Sweden,
Belarus, Ukraine, Russia, Iran, Afghan., Pak., India]",,
1954 Dec 25,7:36:43,Annular,131,0.932,07m39s,"s Africa, Indian Ocean, se Asia, Australia
[Annular: Namibia, S. Africa, Indian Ocean, Indonesia]",,
1955 Jun 20,4:10:42,Total,136,1.078,07m08s,"e Africa, e Asia, East Indies, n Australia
[Total: Sri Lanka, Myanmar, Thailand, Laos, Cambodia, Vietnam, Philippines]",,
1955 Dec 14,7:02:26,Annular,141,0.918,12m09s,"c & e Africa, Mid East, Asia, East Indies
[Annular: Chad, Sudan, Ethiopia, Somalia, Myanmar, Thailand,
Laos, Vietnam, se China]",,
1956 Jun 08,21:20:39,Total,146,1.058,04m45s,"New Zealand, Pacific
[Total: s Pacific]",,
1956 Dec 02,8:00:35,Partial,151,0.805,-,"Europe, n Africa, Mid East, c Asia",,
1957 Apr 30,0:05:28,Annular,118,0.98,-,"e Asia, nw N. America
[Annular: n Russia]",,
1957 Oct 23,4:54:02,Total,123,1.001,-,"s Africa, Antarctica
[Total: near Antarctica]",,
1958 Apr 19,3:27:17,Annular,128,0.941,07m07s,"Asia, East Indies, Pacific
[Annular: Myanmar, Thailand, Laos, Cambodia, Vietnam, China, Japan]",,
1958 Oct 12,20:55:28,Total,133,1.061,05m11s,"Australia, New Zealand, Pacific, sw S. America
[Total: Pacific, Chile, Argentina]",,
1959 Apr 08,3:24:08,Annular,138,0.94,07m26s,"East Indies, Australia, New Zealand, Pacific
[Annular: Australia]",,
1959 Oct 02,12:27:00,Total,143,1.033,03m02s,"e N. America, Europe, Africa, w Asia
[Total: ne US, W. Sahara, Mauritania, Mali, Niger,
Nigeria, Chad, Sudan, Ethiopia, Somalia]",,
1960 Mar 27,7:25:08,Partial,148,0.706,-,"Antarctica, s Indian, Australia",,
1960 Sep 20,22:59:56,Partial,153,0.614,-,"ne Asia, N. America",,
1941 Mar 27,20:08:08,Annular,138,0.935,07m41s,"Antarctica, S America, C America
[Annular: South Pacific, Peru, Bolivia, Brazil]",,
1941 Sep 21,4:34:03,Total,143,1.038,03m22s,"Asia, Indies, Australia, Middle East
[Total: Russia, Uzbekistan, Kazkhstan, China]",,
1942 Mar 16,23:37:07,Partial,148,0.639,-,Antarctica,,
1942 Aug 12,2:45:12,Partial,115,0.056,-,Antarctica,,
1942 Sep 10,15:39:33,Partial,153,0.523,-,"Canada, Greenland, w Europe, n Africa",,
1943 Feb 04,23:38:11,Total,120,1.033,02m39s,"e Asia, w N America
[Total: Russia, Japan, Alaska, Canada]",,
1943 Aug 01,4:16:13,Annular,125,0.941,06m59s,"Madagascar, Antarctica, Indies, Australia
[Annular: s Indian Ocean]",,
1944 Jan 25,15:26:42,Total,130,1.043,04m09s,"S America, C America, w Africa
[Total: Peru, Brazil, Sierra Leone, Guinea, Mali, Niger]",,
1944 Jul 20,5:43:13,Annular,135,0.97,03m42s,"s Asia, e Africa, Indies, Australia
[Annular: Somalia, Ethiopia, India, Myanmar, Thailand, Laos, Vietnma, Phil.]",,
1945 Jan 14,5:01:44,Annular,140,0.997,00m15s,"Madagascar, Antarctica, Australia, N.Z.
[Annular: South Africa, Tasmania]",,
1945 Jul 09,13:27:45,Total,145,1.018,01m15s,"N America, n Africa, Europe, w Asia
[Total: U.S., Canada, Greenland, Norway, Sweden, Finland, Russia]",,
1946 Jan 03,12:16:11,Partial,150,0.553,-,"s S America, Antarctica",,
1946 May 30,21:00:24,Partial,117,0.886,-,South Pacific,,
1946 Jun 29,3:51:58,Partial,155,0.18,-,"n Europe, n N America",,
1946 Nov 23,17:37:13,Partial,122,0.776,-,"N America, Carribean, n S America",,
1947 May 20,13:47:47,Total,127,1.056,05m13s,"S America, Africa
[Total: Chile, Argentina, Paraguay, Brazil, central Africa]",,
1947 Nov 12,20:05:37,Annular,132,0.965,03m59s,"N & S America
[Annular: central Pacific, Peru, Ecuador, Colombia Brazil]",,
1948 May 09,2:26:04,Annular,137,1,00m00s,"Asia, Indies, nw N America
[Annular: Myanmar, Thailand, Laos, Vietnam, China, Japan]",,
1948 Nov 01,5:59:18,Total,142,1.023,01m56s,"e Africa, central Indian Ocean
[Total: Zaire, Uganda, Kenya, Indian Ocean]",,
1949 Apr 28,7:48:53,Partial,147,0.609,-,"n Africa, Europe, w Asia, n N America",,
1949 Oct 21,21:13:01,Partial,152,0.964,-,"Antarctica, Australia, New Zealand",,
1950 Mar 18,15:32:02,Annular,119,0.962,-,"s Africa, s S America, Antarctica
[Annular: Antarctica]",,
1950 Sep 12,3:38:47,Total,124,1.018,01m14s,"ne Asia, nw N America
[Total: Russia]",,
1931 Apr 18,0:45:35,Partial,147,0.511,-,"e Asia, n Canada, Greenland",,
1931 Sep 12,4:41:25,Partial,114,0.047,-,"Russia, Alaska",,
1931 Oct 11,12:55:40,Partial,152,0.901,-,"s S America, Antarctica",,
1932 Mar 07,7:55:51,Annular,119,0.928,05m19s,"Antarctica, Australia, s Indies
[Annular: Antarctica, Tasmania]",,
1932 Aug 31,20:03:41,Total,124,1.026,01m45s,"N America, Russia, C America, n S America
[Total: Canada, U.S., North Atlantic]",,
1933 Feb 24,12:46:39,Annular,129,0.984,01m32s,"s S America, Africa, Antarctica
[Annular: Chile, Argentina, Congo, Zaire, C.A.R., Sudan, Ethiopia, Djibouti, Yemen]",,
1933 Aug 21,5:49:11,Annular,134,0.98,02m04s,"ne Africa, c Asia, Indies, Australia
[Annular: Middle East, Iran, Afghanistan, Pakistan, India, Myanmar, Indon., Australia]",,
1934 Feb 14,0:38:42,Total,139,1.032,02m53s,"e Asia, Australia, Alaska
[Total: Malaysia, Indonesia, central Pacific]",,
1934 Aug 10,8:37:48,Annular,144,0.944,06m33s,"s Africa, Antarctica,
[Annular: Angola, Nambia, Botswana, Zimbabwe, Zambia, Mozambique, S Africa]",,
1935 Jan 05,5:35:46,Partial,111,0.001,-,South Pacific,,
1935 Feb 03,16:16:20,Partial,149,0.739,-,"N America, C America",,
1935 Jun 30,19:59:47,Partial,116,0.338,-,"Russia, Canada, Greenland, n Europe",,
1935 Jul 30,9:16:28,Partial,154,0.231,-,"South Atlantic, Antarctica",,
1935 Dec 25,17:59:52,Annular,121,0.975,01m30s,"Antarctica, s S America
[Annular: Antarctica]",,
1936 Jun 19,5:20:31,Total,126,1.033,02m31s,"Asia, e Europe, n Africa
[Total: Greece, Turkey, Russia, Japan]",,
1936 Dec 13,23:28:12,Annular,131,0.935,07m25s,"Australia, Antarctica, New Zealand
[Annular: Australia, New Zealand]",,
1937 Jun 08,20:41:02,Total,136,1.075,07m04s,"s N America, C America, nw S America
[Total: central Pacific, Peru]",,
1937 Dec 02,23:05:46,Annular,141,0.918,12m00s,"e Asia, w N America, e Indies
[Annular: central Pacific]",,
1938 May 29,13:50:19,Total,146,1.055,04m05s,"s S America, s Africa
[Total: South Atlantic]",,
1938 Nov 21,23:52:26,Partial,151,0.778,-,"ne Asia, nw N America",,
1939 Apr 19,16:45:54,Annular,118,0.973,01m49s,"N America, n Europe, Russia
[Annular: Alaska, Canada]",,
1939 Oct 12,20:40:24,Total,123,1.027,01m32s,"Antarctica, Australia, s S America, N.Z.
[Total: Antarctica]",,
1940 Apr 07,20:21:21,Annular,128,0.939,07m30s,"N America, C America, n S America,
[Annular: central Pacific, Mexico, U.S>]",,
1940 Oct 01,12:44:06,Total,133,1.064,05m35s,"S America, s Africa
[Total: Colombia, Venezuela, Brazil, South Africa]",,
1921 Apr 08,9:15:01,Annular,118,0.975,01m50s,"n Africa, Asia, n Canada, Greenland
[Annular: U.K., Norway, Russia]",,
1921 Oct 01,12:35:58,Total,123,1.029,01m52s,"Antarctica, s S America
[Total: Antarctica]",,
1922 Mar 28,13:05:26,Annular,128,0.938,07m50s,"e S America, Carribean, n Africa, Europe, w Asia
[Annular: Peru, Brazil, Senegal, Mali, Mauritania, Algeria, Libya, Egypt, Saudi Arabia]",,
1922 Sep 21,4:40:32,Total,133,1.068,05m59s,"e Africa, s Asia, Indies, Australia
[Total: Ethiopia, Somalia, Indian Ocean, Australia]",,
1923 Mar 17,12:44:58,Annular,138,0.931,07m51s,"s S America, s Africa, Antarctica
[Annular: Chile, Argentina, Nambia, Botswana, Zimbabwe, Mozambique, Madagascar]",,
